"COMBO PRODUCT NAME";"Category";"Category ID";"Manufacturer";"Manufacturer ID";"Product Name";"Summary";"Description";"PRICE";"Box size (inches)";"Depth";"Width";"Height";"Net Weight (lbs)";"Item Number";"Images"
"";"Seaming Hand Tools";"17";"WUKO";"3";"WUKO Double Seaming Iron ";"For bending panel profiles ";"For bending panel profiles ";"126";"8x8x12";"12";"8";"8";"8";"1004993";"http://dev.sheridantools.com/img/products/1004993.png"
"";"Seaming Hand Tools";"17";"WUKO";"3";"WUKO Seaming Anvil with Blade End ";"";"";"118";"8x8x12";"12";"8";"8";"7";"1005008";"http://dev.sheridantools.com/img/products/1005008.png"
"";"Seaming Hand Tools";"17";"WUKO";"3";"WUKO Pocket Pan Former ";"For roof pitch transition ";"For roof pitch transition ";"70";"8x8x4";"8";"8";"4";"2";"1005016";"http://dev.sheridantools.com/img/products/1005016.png"
"";"Seaming Hand Tools";"17";"WUKO";"3";"WUKO Seaming Iron for Curves ";"";"";"177";"8x8x12";"12";"8";"8";"6";"1005024";"http://dev.sheridantools.com/img/products/1005024.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Piccolo Single Seam Closer, RAU 127 ";"Seam Width 2 3/4"", short version, overall length 8""  ";"Seam Width 2 3/4"", short version, overall length 8""  ";"238";"8x8x12";"12";"8";"8";"3";"1005057";"http://dev.sheridantools.com/img/products/1005057.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Eaves Folder, RAU 105  ";"Jaw width 9 ¾"", 1"" insertion depth ";"Jaw width 9 ¾"", 1"" insertion depth ";"255";"12x12x4";"12";"12";"4";"5";"1005065";"http://dev.sheridantools.com/img/products/1005065.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Eaves Folder, RAU 1059 ";"Made of stainless steel ";"Made of stainless steel ";"384";"12x12x4";"12";"12";"4";"6";"1007137";"http://dev.sheridantools.com/img/products/1007137.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Eaves Seamer, RAU 106 ";"Jaw width 8 1/2"", tool length 15"" ";"Jaw width 8 1/2"", tool length 15"" ";"256";"12x16x4";"16";"12";"4";"5";"1005073";"http://dev.sheridantools.com/img/products/1005073.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Eaves Seamer, RAU 1069 ";"Made of stainless steel ";"Made of stainless steel ";"388";"12x16x4";"16";"12";"4";"6";"1007129";"http://dev.sheridantools.com/img/products/1007129.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Single-Lock Hand Seamer, RAU 111 ";"Jaw width 8 1/2'', tool length 15'' ";"Jaw width 8 1/2'', tool length 15'' ";"262";"12x16x4";"16";"12";"4";"5";"1005081";"http://dev.sheridantools.com/img/products/1005081.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Double-Lock Hand Seamer, RAU 117 ";"Jaw width 8 1/2'', tool length 17'' ";"Jaw width 8 1/2'', tool length 17'' ";"319";"12x16x4";"16";"12";"4";"6";"1005099";"http://dev.sheridantools.com/img/products/1005099.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Double-Lock Hand Seamer, RAU 1174   NEW! 
with robust plastic jaws ";"Shields profiles metal profiles from scratches ";"Shields profiles metal profiles from scratches ";"365";"12x16x4";"16";"12";"4";"7";"1015643";"http://dev.sheridantools.com/img/products/1015643.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Set of Replacement Jaws for RAU 1174 ";"";"";"59.5";"4x4x12";"12";"4";"4";"1";"1015650";"http://dev.sheridantools.com/img/products/1015650.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Single-Lock Hand Seamer, RAU 128  ";"2ft 4'' high, jaw width 8 1/2''";"2ft 4'' high, jaw width 8 1/2''";"386";"12x6x30";"30";"12";"6";"10";"1005255";"http://dev.sheridantools.com/img/products/1005255.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Double-Lock Hand Seamer, RAU 131 ";"2ft 4'' high, jaw width 8 1/2''";"2ft 4'' high, jaw width 8 1/2''";"389";"12x6x30";"30";"12";"6";"10";"1005263";"http://dev.sheridantools.com/img/products/1005263.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Small Crimping Tool, RAU 116 ";"Tool length 13 1/2"", blade length 3""";"Tool length 13 1/2"", blade length 3""";"184";"4x4x14";"14";"4";"4";"2";"1005032";"http://dev.sheridantools.com/img/products/1005032.jpg"
"";"Seaming Hand Tools";"17";"RAU";"6";"Large Crimping Tool, RAU 115 ";"Tool length 27 5/8"", blade length 9 7/8""";"Tool length 27 5/8"", blade length 9 7/8""";"370";"6x6x30";"30";"6";"6";"8";"1005040";"http://dev.sheridantools.com/img/products/1005040.jpg"
